title,genre,rating
Lord El-Melloi II Sei no Jikenbo -Rail Zeppelin Grace Note- Tokubetsu-hen,"['Anime', 'Bí ẩn', 'Giả tưởng', 'Siêu nhiên']","['8.2', '83']"
Detective Conan Movie 24: Hiiro no Dangan,"['Anime', 'Hành động', 'Hài hước', 'Bí ẩn', 'Thám tử', 'Shounen', 'Drama']","['9.6', '117']"
Detective Conan Movie 23: The Fist of Blue Sapphire,"['Anime', 'Hành động', 'Hài hước', 'Bí ẩn', 'Thám tử', 'Shounen']","['9.6', '45']"
Kino no Tabi: The Beautiful World - The Animated Series,"['Anime', 'Hành động', 'Bí ẩn', 'Drama', 'Psychological']","['9.2', '200']"
Higurashi no Naku Koro ni Sotsu,"['Anime', 'Kinh dị', 'Siêu nhiên', 'Bí ẩn', 'Psychological', 'Thriller']","['8.8', '78']"
Vinland Saga Season 2,"['Anime', 'Hành động', 'Bi kịch', 'Lịch sử', 'Phiêu lưu']","['8.7', '252']"
Berserk: Ougon Jidai-hen - Memorial Edition,"['Anime', 'Hành động', 'Bi kịch', 'Giả tưởng', 'Quân đội', 'Drama']","['7.3', '109']"
Attack On Titan - Shingeki No Kyojin,"['Anime', 'Hành động', 'Viễn tưởng', 'Siêu nhiên', 'Shounen', 'Drama', 'Bi kịch', 'Siêu năng lực']","['9.3', '1050']"
Attack on Titan SS2,"['Anime', 'Hành động', 'Giả tưởng', 'Kinh dị', 'Shounen', 'Bi kịch']","['9.4', '1063']"
Air Movie,"['Anime', 'Tình cảm', 'Drama', 'Seinen', 'Bi kịch']","['9.7', '48']"
NANA,"['Anime', 'Tình cảm', 'Hài hước', 'Đời thường', 'Drama', 'Shoujo', 'Bi kịch', 'Âm nhạc']","['7.0', '28']"
Moshidora,"['Anime', 'Học đường', 'Bi kịch', 'Thể thao']","['9.4', '17']"
Fate/Zero,"['Anime', 'Hành động', 'Giả tưởng', 'Siêu nhiên', 'Psychological', 'Bi kịch']","['9.2', '464']"
Kidou Senshi Gundam 00,"['Anime', 'Hành động', 'Viễn tưởng', 'Bi kịch', 'Mecha', 'Quân đội']","['8.5', '46']"
Elfen Lied,"['Anime', 'Hành động', 'Tình cảm', 'Kinh dị', 'Ecchi', 'Drama', 'Psychological', 'Bi kịch']","['8.9', '233']"
